id_cat_esp,idcomponente,valor
9,c283e7b6-e291-412d-a25e-ab0b5c40229a,24
10,c283e7b6-e291-412d-a25e-ab0b5c40229a,4.3GHz
11,c283e7b6-e291-412d-a25e-ab0b5c40229a,150W
12,c283e7b6-e291-412d-a25e-ab0b5c40229a,32MB
1,fae081f9-b682-434a-b6a4-67dd96b90498,Bluetooth 3.0
2,fae081f9-b682-434a-b6a4-67dd96b90498,10 metros cuadrados
3,fae081f9-b682-434a-b6a4-67dd96b90498,124mm
4,fae081f9-b682-434a-b6a4-67dd96b90498,279mm
5,fae081f9-b682-434a-b6a4-67dd96b90498,16mm
6,fae081f9-b682-434a-b6a4-67dd96b90498,423g
9,118fba8e-7d9f-425a-8031-451e5e82c25c,6
10,118fba8e-7d9f-425a-8031-451e5e82c25c,3.7GHz
11,118fba8e-7d9f-425a-8031-451e5e82c25c,65W
12,118fba8e-7d9f-425a-8031-451e5e82c25c,32MB
7,921a84ca-cb67-4f20-8a15-c033377aefd9,INTEL B760
8,921a84ca-cb67-4f20-8a15-c033377aefd9,LGA 1700
13,1a2bb44a-d864-4b9a-88d1-213e8d195afd,3072
14,1a2bb44a-d864-4b9a-88d1-213e8d195afd,2475MHz
15,1a2bb44a-d864-4b9a-88d1-213e8d195afd,450W
16,1a2bb44a-d864-4b9a-88d1-213e8d195afd,8GB
17,0aa9489a-9f5d-47fd-85f7-eb3a1be71431,6400MT/s
18,0aa9489a-9f5d-47fd-85f7-eb3a1be71431,16GB
20,697aa393-8bb1-485d-acd9-3cf3c2fdcd3f,NVME PCI 4.0
21,697aa393-8bb1-485d-acd9-3cf3c2fdcd3f,"7000MB/seg Lectura, 3900MB/seg Escritura"
22,697aa393-8bb1-485d-acd9-3cf3c2fdcd3f,512GB
